article;amount_values;amount_entities;amount_links;amount_link_article_match
Ali Hassan Osman;26;10;7;2
Aconex;9;9;4;1
Draft:Ambient Air Quality Criteria;0;0;0;
Minister for Education (Greece);0;0;0;
Wikipedia:Articles for deletion/James Kochan;0;0;0;
Haile Tilahun Gebremariam;0;0;0;
Cuspicephalus;0;0;0;
Roger Norman (novelist);0;0;0;
AccessibleComputing;0;0;0;
Anarchism;0;0;0;
AfghanistanHistory;0;0;0;
AfghanistanGeography;0;0;0;
AfghanistanPeople;0;0;0;
Spain Davis Cup Team;0;0;0;
Koch fractal;0;0;0;
Wikipedia:Self-revert;0;0;0;
Spanish Davis Cup Team;0;0;0;
Château Phelan-Ségur;0;0;0;
Sweden Davis Cup Team;0;0;0;
Template:PPASAC-instructions;0;0;0;
Swedish Davis Cup Team;0;0;0;
Switzerland Davis Cup Team;0;0;0;
Château Phélan-Segur;0;0;0;
Swiss Davis Cup Team;0;0;0;
Wikipedia:PPASAC;0;0;0;
Chateau Phelan Segur;0;0;0;
Category:Blind Guardian members;0;0;0;
United States Davis Cup Team;0;0;0;
Chateau Phelan-Ségur;0;0;0;
Personal Backup;0;0;0;
Joan Jett (album);0;0;0;
Chateau Phelan Ségur;0;0;0;
Category:FA-Class Cuba articles;0;0;0;
Klang;0;0;0;
List of One Piece chapters (1-195);0;0;0;
List of One Piece chapters (196-440);0;0;0;
Okha port;0;0;0;
File:Bladeoftriumph.jpg;18;8;3;0
1718 in Norway;0;0;0;
Category:Vertigo Records albums;0;0;0;
British Columbia Soccer Association;21;12;3;2
Allegedly defective imported drywall controversy of 2009;0;0;0;
Metal Storm Awards;0;0;0;
Finlay colour process;0;0;0;
Stefanie Clark;16;15;3;6
Otto I, Margrave of Brandenburg;20;16;9;5
Taprogge;0;0;0;
Jack DeLeon;6;5;3;0
Eric Mercury;13;6;1;1
H. G. Adler;0;0;0;
2007–09 university protests in France;0;0;0;
Barbara Everard;7;6;1;0
Gordon McGregor Sloan;0;0;0;
Jewish Cemetery of Diemen;0;0;0;
Cyclone Keila;15;15;2;3
Portbraddon Cave;49;15;4;5
Latino Commission on AIDS;29;6;1;0
Shauna Kavanagh;0;0;0;
Jewish Cemetery of Diemen;0;0;0;
Amerika Haus Berlin;0;0;0;
Julius Honorius;0;0;0;
Andrey Nitchenko;0;0;0;
Kentin Mahé;35;34;12;9
Glyphodes costulalis;0;0;0;
Yordankino;0;0;0;
Wikipedia:Peer review/Sierra Leone at the 2004 Summer Olympics/archive1;0;0;0;
Fontinalis antipyretica;0;0;0;
Morgan Blake;14;9;3;1
File:WebLOAD logo.png;0;0;0;
File:Nashville Seraphs Logo.png;0;0;0;
Léonie d’Aunet;14;13;1;1
Wikipedia:Sockpuppet investigations/161.52.14.200;0;0;0;
Category:Engineering companies of Estonia;0;0;0;
Template:Hugo;0;0;0;
Samuel Gitler;0;0;0;
Draft:Mulkaji;0;0;0;
Wikipedia:Articles for deletion/Saoirse Ronan;0;0;0;
Extrusion Welding;0;0;0;
Myron Winslow Reed;0;0;0;
GPIb-IX-V;0;0;0;
Passano Laureate;0;0;0;
Long Way Down (novel);0;0;0;
File:Squadron2020 rendering.jpg;0;0;0;
Draft:Korona królów (TV series);0;0;0;
"File:LISAA School of Art &amp; Design logo.png";0;0;0;
Lavi (D.Gray Man);0;0;0;
Draft:Frolic Adventure;0;0;0;
Cari Cari;0;0;0;
Wikipedia:Articles for deletion/Sand geyser (2nd nomination);0;0;0;
Saida District;0;0;0;
Australian Artists’ Association;0;0;0;
Category:1865 establishments in Estonia;0;0;0;
Draft:Allma Skneian;0;0;0;
Composition (chess);0;0;0;
SSV Jeddeloh;34;31;2;2
SSV Jeddeloh II;0;0;0;
George M. Chinn;0;0;0;
File:LaviD.Gray.png;0;0;0;
File:VF-71 Wasp Air Grop.JPG;0;0;0;
Vijayawada-Rayagada Passenger;0;0;0;
Qari Abdullah Subari;0;0;0;
2018 Volvo Car Open – Doubles;0;0;0;
Adekola Ojelere;0;0;0;
File:Sea Hunt.jpg;0;0;0;
"City Stadium &quot;Besnik Begunca&quot;";30;7;4;2
Franz Krull;0;0;0;
Template:Did you know nominations/East German balloon escape;0;0;0;
John Monteath Robertson;0;0;0;
Draft:Conversation Street;0;0;0;
List of historical period drama films and series;0;0;0;
Template:Did you know nominations/Chinko;0;0;0;
Category:Borough of Kettering;0;0;0;
Margaronia fallacialis;0;0;0;
Cha va con va;0;0;0;
List of names associated with Olódùmarè;0;0;0;
Philippe Zawieja;0;0;0;
Margaronia fasciculata;0;0;0;
"H&amp;R Block Inc";0;0;0;
Category:Arts organizations established in the 1970s;0;0;0;
"Amira &amp; Sam";15;15;3;1
Margaronia impia;0;0;0;
Amira and Sam;0;0;0;
Taxadienone;0;0;0;
Category:Walk Off The Earth songs;0;0;0;
Rhaiktor;0;0;0;
Category:Arts organizations established in the 20th century;0;0;0;
Almost Strangers;0;0;0;
Let's Play videos;0;0;0;
File:TaxiBot logo.jpg;0;0;0;
Category:Esiliiga B seasons;0;0;0;
Wikipedia:Featured picture candidates/Keokaradang, Bandarban;0;0;0;
Dollar Tree Inc;0;0;0;
C14 road (Namibia);3;3;0;0
Håkansson, Håkan;0;0;0;
Cenocnemis incurvata;0;0;0;
Telenomus farai;0;0;0;
Category:Cryptocurrency articles by quality;0;0;0;
Margaronia invernalis;0;0;0;
Category:Draft-Class Cryptocurrency articles;0;0;0;
Crystal Brook – Broken Hill railway;0;0;0;
Aferim;0;0;0;
Haile Tilahun Gebremariam;0;0;0;
Avalonbay Communities Reit Inc;0;0;0;
Alibaba Pictures;72;40;5;2
Alibaba Pictures Group;0;0;0;
Alibaba Films Group;0;0;0;
Category:Project-Class Cryptocurrency articles;0;0;0;
Category:Template-Class Cryptocurrency articles;0;0;0;
Category:Portal-Class Cryptocurrency articles;0;0;0;
Category:Disambig-Class Cryptocurrency articles;0;0;0;
Alibaba Films;0;0;0;
Category:Category-Class Cryptocurrency articles;0;0;0;
Category:File-Class Cryptocurrency articles;0;0;0;
Category:NA-Class Cryptocurrency articles;0;0;0;
Wikipedia:Featured picture candidates/Jog Falls, India;0;0;0;
Category:Unassessed Cryptocurrency articles;0;0;0;
Portal:Animation/Did you know/Layout/footer;0;0;0;
Zofka Kveder;18;8;2;1
The Robinson family (disambiguation);0;0;0;
Museum d’Histoire Naturelle Aix en Provence;0;0;0;
Category:Civil crime prevention;0;0;0;
Category:Diemen;0;0;0;
Electrotyper;0;0;0;
Centre County Courthouse;14;13;1;1
Template:Campaignbox Fatimid-Crusader War;0;0;0;
Tingyu Fang;0;0;0;
Bubble Boy (disambiguation);0;0;0;
Category:Aesthetic beauty;0;0;0;
Polarisation (waves);0;0;0;
Template:Campaignbox Seljuk-Crusader War;0;0;0;
Englbert Schücking;0;0;0;
Bustillo (disambiguation);0;0;0;
"C&amp;W (disambiguation)";0;0;0;
Maquarie University;0;0;0;
Büchler (disambiguation);0;0;0;
File:Maharshi Mehi.jpg;0;0;0;
Rio de Janeiro Airport;0;0;0;
Galaxias (Japanese band);0;0;0;
CBX2 (disambiguation);0;0;0;
Template:Campaignbox Zengid-Crusader War;0;0;0;
CCGA (disambiguation);0;0;0;
CFTK (disambiguation);0;0;0;
Wikipedia:WikiProject Military history/Academy/A Beginners Guide to Copyright on Wikipedia;0;0;0;
CKCK (disambiguation);0;0;0;
Precision mechanic;0;0;0;
Category:People from Mahanoy City, Pennsylvania;0;0;0;
Narsinh Maheta Award;0;0;0;
Mitsubishi L-200;0;0;0;
Sukhoi T-8;0;0;0;
Calvin Duncan (disambiguation);0;0;0;
Mitsubishi L-300;0;0;0;
Stadtspital Triemli;0;0;0;
Foreign Policy and United Nations Association of Austria;0;0;0;
Camp Robinson (disambiguation);0;0;0;
Time Off Magazine;0;0;0;
Cang (disambiguation);0;0;0;
Mitsubishi L400;0;0;0;
Cape Darnley (disambiguation);0;0;0;
The University of Texas Health Science Center of Houston;0;0;0;
Carcajou (disambiguation);0;0;0;
University of Texas Health Science Center of Houston;0;0;0;
Wolf Harden;0;0;0;
United Nations Association of Austria;0;0;0;
Schuldt-Jensen;0;0;0;
Carlos Jorge (disambiguation);0;0;0;
Gerald Ridley;36;28;5;6
Lucas Demetrios Papademos;0;0;0;
Castle of San Sebastián (disambiguation);0;0;0;
Castle of Santa Catalina (disambiguation);0;0;0;
Cathedral of Saint Thomas (disambiguation);0;0;0;
UNA-Austria;0;0;0;
Catherine O'Loughlin (disambiguation);0;0;0;
Cecil Denny (disambiguation);0;0;0;
Central Germany (disambiguation);0;0;0;
Elliott W. Montroll;0;0;0;
Central Valley High School (disambiguation);0;0;0;
Template:Campaignbox Hungary 1944-1945;0;0;0;
Chahardangeh District (disambiguation);0;0;0;
Chakradhar (disambiguation);0;0;0;
Cuspicephalus;0;0;0;
Cosmin Muj;31;11;3;0
Changing Horses (disambiguation);0;0;0;
Changeable (disambiguation);0;0;0;
Category:Populated places in Cocke County, Tennessee;0;0;0;
Template:Taxonomy/Cuspicephalus;0;0;0;
Monofenestratan;0;0;0;
Cuspicephalus scarfi;0;0;0;
Alibaba Pictures;72;40;5;
Gerald Ridley;36;28;5;
Your Body's Callin';20;17;8;3
Animalia (book);15;13;3;1
Academy Awards;10;8;1;1
Shonichi;17;12;5;1
Kotgarh Wildlife Sanctuary;37;12;3;1
